time,open_price,high_price,low_price,close_price,volume
2023-05-07 01:00:00,28899.81,29200.3,28434.18,28437.03,104.54963601
2023-05-06 01:00:00,29537.6,29847.7,28394.1,28899.81,234.21403391
2023-05-05 01:00:00,28846.43,29691.89,28820.88,29537.6,518.75455767
2023-05-04 01:00:00,29021.44,29350.08,28681.6,28846.43,304.89772239
2023-05-03 01:00:00,28677.24,29254.54,28137.58,29021.44,478.79516819
2023-05-02 01:00:00,28109.71,28899.02,27881.86,28677.24,383.90115216
2023-05-01 01:00:00,29241.04,29342.17,27680.68,28109.71,737.94519192
2023-04-30 01:00:00,29247.28,29956.39,29120.8,29241.04,282.27309787
2023-04-29 01:00:00,29341.78,29460.0,29065.53,29247.28,116.88259293
2023-04-28 01:00:00,29479.05,29614.84,28917.02,29341.78,211.71975034
2023-04-27 01:00:00,28421.91,29880.71,28387.03,29479.05,368.45165452
2023-04-26 01:00:00,28301.98,30015.08,27216.49,28421.91,848.34614962
2023-04-25 01:00:00,27510.9,28400.0,27201.0,28301.98,282.29559525
2023-04-24 01:00:00,27582.73,27993.9,26947.32,27510.9,432.25799486
2023-04-23 01:00:00,27818.97,27819.87,27350.0,27582.73,180.36043401
2023-04-22 01:00:00,27244.77,27886.42,26999.0,27818.97,326.03202005
2023-04-21 01:00:00,28200.0,28381.69,27132.54,27244.77,670.62024724
2023-04-20 01:00:00,28814.64,29091.26,27932.0,28200.0,446.65066311
2023-04-19 01:00:00,30374.65,30420.0,28573.0,28814.64,523.56730156
2023-04-18 01:00:00,29441.89,30451.68,29111.0,30374.65,480.31458457
2023-04-17 01:00:00,30307.98,30329.49,29250.0,29441.89,385.43361805
2023-04-16 01:00:00,30300.91,30534.81,30144.76,30307.98,156.21961474
2023-04-15 01:00:00,30484.98,30609.0,30245.75,30300.91,128.31999999
2023-04-14 01:00:00,30412.51,31069.93,30011.01,30484.98,479.04959135
2023-04-13 01:00:00,29903.38,30621.89,29897.76,30412.51,397.09147774
2023-04-12 01:00:00,30241.58,30799.0,29694.63,29903.38,437.93062116
2023-04-11 01:00:00,29654.49,30592.6,29654.0,30241.58,483.81539065
2023-04-10 01:00:00,28333.21,29800.0,28187.4,29654.49,602.96079203
2023-04-09 01:00:00,27960.67,28550.0,27823.75,28333.21,144.39120537
2023-04-08 01:00:00,27927.1,28174.64,27892.19,27960.67,102.92098334
2023-04-07 01:00:00,28050.03,28125.36,27800.01,27927.1,205.06019288
2023-04-06 01:00:00,28185.13,28190.0,27700.0,28050.03,283.45955487
2023-04-05 01:00:00,28177.43,28769.85,27822.96,28185.13,476.71945551
2023-04-04 01:00:00,27818.03,28448.69,27501.99,28177.43,287.2496538
2023-04-03 01:00:00,28200.01,28528.0,27250.0,27818.03,532.73373372
2023-04-02 01:00:00,28473.97,28534.19,27900.0,28200.01,197.18069747
2023-04-01 01:00:00,28486.15,28822.66,28264.52,28473.97,146.86125587
2023-03-31 01:00:00,27940.68,28650.0,27532.4,28486.15,372.21766579
2023-03-30 01:00:00,28326.4,29178.34,27706.83,27940.68,512.5116257
2023-03-29 01:00:00,27285.38,28625.57,27265.24,28326.4,529.98578905
2023-03-28 01:00:00,27144.17,27500.0,26652.26,27285.38,441.83423464
2023-03-27 01:00:00,28007.1,28048.32,26550.6,27144.17,628.59489832
